Company;Product;TypeName;ScreenResolution;Cpu;Ram;Memory;Gpu;Gpu_Intel;OpSys;Weight;Rating;Price_euros
Apple;MacBook Pro;Ultrabook;Other;Intel Core i5 2.3GHz;8;256;Intel Iris Plus Graphics 640;yes;macOS;1,37;8,7;1518,55
Dell;Inspiron 3567;Notebook;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256;AMD Radeon R5 M430;no;Windows 10;2,2;5,5;745
Apple;MacBook Pro;Ultrabook;Other;Intel Core i7 2.9GHz;16;512;AMD Radeon Pro 560;no;macOS;1,83;7,7;2858
Dell;XPS 13;Ultrabook;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8;128;Intel UHD Graphics 620;yes;Windows 10;1,22;6,2;979
Asus;Vivobook E200HA;Netbook;1366x768;Intel Atom x5-Z8350 1.44GHz;2;32;Intel HD Graphics 400;yes;Windows 10;0,98;7,8;191,9
Lenovo;Legion Y520-15IKBN;Gaming;IPS Panel Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;1152;Nvidia GeForce GTX 1050;no;Windows 10;2,5;6,5;999
Dell;Inspiron 5379;2 in 1 Convertible;Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,62;8,7;819
HP;15-BS101nv (i7-8550U/8GB/256GB/FHD/W10);Ultrabook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,91;10;659
Dell;Inspiron 3567;Notebook;1366x768;Intel Core i3 6006U 2GHz;4;1024;Intel HD Graphics 520;yes;Windows 10;2,3;9,4;418,64
Apple;MacBook Air;Ultrabook;Other;Intel Core i5 1.6GHz;8;128;Intel HD Graphics 6000;yes;Mac OS X;1,35;9,4;1099
Dell;Inspiron 5570;Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;AMD Radeon 530;no;Windows 10;2,2;8,3;800
Dell;Latitude 5590;Ultrabook;Full HD 1920x1080;Intel Core i7 8650U 1.9GHz;8;512;Intel UHD Graphics 620;yes;Windows 10;1,88;6,8;1298
HP;ProBook 470;Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;1024;Nvidia GeForce 930MX;no;Windows 10;2,5;5,1;896
Chuwi;"LapBook 15.6""";Notebook;Full HD 1920x1080;Intel Atom x5-Z8300 1.44GHz;4;64;Intel HD Graphics;yes;Windows 10;1,89;3,9;244,99
Asus;E402WA-GA010T (E2-6110/2GB/32GB/W10);Notebook;1366x768;AMD E-Series E2-6110 1.5GHz;2;32;AMD Radeon R2;no;Windows 10;1,65;5,9;199
HP;17-ak001nv (A6-9220/4GB/500GB/Radeon;Notebook;Full HD 1920x1080;AMD A6-Series 9220 2.5GHz;4;500;AMD Radeon 530;no;Windows 10;2,71;9,7;439
Dell;XPS 13;Ultrabook;Other;Intel Core i7 8550U 1.8GHz;16;512;Intel UHD Graphics 620;yes;Windows 10;1,2;7,6;1869
Apple;MacBook Air;Ultrabook;Other;Intel Core i5 1.6GHz;8;256;Intel HD Graphics 6000;yes;Mac OS X;1,35;8,4;998
Lenovo;IdeaPad 120S-14IAP;Notebook;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;64;Intel HD Graphics 500;yes;Windows 10;1,44;8,2;249
Acer;Aspire 3;Notebook;1366x768;Intel Core i3 7130U 2.7GHz;4;1024;Intel HD Graphics 620;yes;Linux;2,1;8;367
Dell;Inspiron 5770;Notebook;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;1152;AMD Radeon 530;no;Windows 10;2,8;9,1;979
HP;250 G6;Notebook;1366x768;Intel Core i5 7200U 2.5GHz;4;1024;Intel HD Graphics 620;yes;Windows 10;1,86;6,1;488,69
HP;ProBook 450;Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Nvidia GeForce 930MX;no;Windows 10;2,1;7,6;879
Asus;X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux);Notebook;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;1024;Intel HD Graphics 620;yes;Linux;2;7,4;389
Dell;Inspiron 7577;Gaming;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1280;Nvidia GeForce GTX 1060;no;Windows 10;2,65;6,9;1499
Asus;X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce;Notebook;1366x768;Intel Core i5 7200U 2.5GHz;8;1024;Nvidia GeForce 940MX;no;Linux;2,3;6,2;522,99
Acer;Aspire A515-51G;Notebook;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;4;256;Intel UHD Graphics 620;yes;Windows 10;2,2;7,8;682
Dell;Inspiron 7773;2 in 1 Convertible;Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;12;1024;Nvidia GeForce 150MX;no;Windows 10;2,77;9,3;999
Apple;MacBook Pro;Ultrabook;Other;Intel Core i5 2.0GHz;8;256;Intel Iris Graphics 540;yes;macOS;1,37;9,3;1419
Asus;Rog Strix;Gaming;Full HD 1920x1080;AMD Ryzen 1700 3GHz;8;1280;AMD Radeon RX 580;no;Windows 10;3,2;6,3;1299
Dell;Inspiron 3567;Notebook;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;256;AMD Radeon R5 M430;no;Windows 10;2,3;6;639
Asus;X751NV-TY001T (N4200/4GB/1TB/GeForce;Notebook;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4;1024;Nvidia GeForce 920MX;no;Windows 10;2,8;6,4;466
Lenovo;Yoga Book;2 in 1 Convertible;Other;Intel Atom x5-Z8550 1.44GHz;4;64;Intel HD Graphics 400;yes;Android;0,69;6,1;319
Acer;Aspire A515-51G;Notebook;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;Nvidia GeForce MX150;no;Windows 10;2,2;5,3;841
HP;255 G6;Notebook;Full HD 1920x1080;AMD A6-Series 9220 2.5GHz;4;256;AMD Radeon R4 Graphics;no;Windows 10;1,86;8,2;398,49
HP;ProBook 430;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;512;Intel UHD Graphics 620;yes;Windows 10;1,49;7;1103
Acer;Aspire 3;Notebook;1366x768;Intel Core i3 7100U 2.4GHz;4;1024;Intel HD Graphics 620;yes;Windows 10;2,4;8,6;384
Dell;Inspiron 3576;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;AMD Radeon 520;no;Windows 10;2,13;9,5;767,8
HP;15-bs002nv (i3-6006U/4GB/128GB/FHD/W10);Notebook;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;128;Intel HD Graphics 520;yes;Windows 10;1,91;8,4;439
Asus;VivoBook Max;Notebook;1366x768;Intel Core i5 7200U 2.5GHz;4;256;Intel HD Graphics 620;yes;Windows 10;2;5,9;586,19
MSI;GS73VR 7RG;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;2304;Nvidia GeForce GTX 1070;no;Windows 10;2,43;0;2449
Asus;X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux);Notebook;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;256;Intel HD Graphics 520;yes;Linux;2;7,5;415
Dell;Inspiron 5770;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;2304;AMD Radeon 530;no;Windows 10;2,8;5,9;1299
Dell;Vostro 5471;Ultrabook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,7;6,9;879
Asus;UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10);Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,4;8,8;941
HP;250 G6;Notebook;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,86;9,5;690
Asus;ZenBook Pro;Ultrabook;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;512;Nvidia GeForce GTX 1050 Ti;no;Windows 10;1,8;9,2;1983
HP;250 G6;Notebook;1366x768;Intel Core i3 6006U 2GHz;4;500;AMD Radeon 520;no;Windows 10;1,86;6,5;438,69
HP;Stream 14-AX040wm;Notebook;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4;32;Intel HD Graphics 400;yes;Windows 10;1,44;8,8;229
Lenovo;V310-15ISK (i5-7200U/4GB/1TB/FHD/W10);Notebook;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;1024;Intel HD Graphics 620;yes;Windows 10;1,9;7,1;549
Asus;FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;12;1024;Nvidia GeForce GTX 1050 Ti;no;Linux;3;9,8;949
Microsoft;Surface Laptop;Ultrabook;Other;Intel Core i5 7200U 2.5GHz;4;128;Intel HD Graphics 620;yes;Windows 10 S;1,252;7,5;1089
Dell;Inspiron 5370;Ultrabook;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;AMD Radeon 530;no;Windows 10;1,4;10;955
Dell;Inspiron 5570;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;AMD Radeon 530;no;Windows 10;2,2;8,2;870
MSI;GL72M 7RDX;Gaming;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;1152;Nvidia GeForce GTX 1050;no;Windows 10;2,7;0;1095
Acer;Aspire E5-475;Notebook;1366x768;Intel Core i3 6006U 2GHz;8;1024;Intel HD Graphics 520;yes;Windows 10;2,1;10;389
Asus;FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;1024;Nvidia GeForce GTX 1050;no;Windows 10;2,2;9,9;949
Dell;Inspiron 5570;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;1152;Intel UHD Graphics 620;yes;Windows 10;2,02;9,8;855
Acer;Aspire A515-51G-32MX;Notebook;Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;4;1024;Nvidia GeForce MX130;no;Windows 10;2,2;5,2;530
HP;ProBook 470;Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;1152;Nvidia GeForce 930MX;no;Windows 10;2,5;9,2;977
Dell;Latitude 5590;Ultrabook;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,88;7,9;1096,16
Apple;"MacBook 12""";Ultrabook;Other;Intel Core i5 1.3GHz;8;512;Intel HD Graphics 615;yes;macOS;0,92;8,6;1510
HP;ProBook 440;Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,63;8,5;860
Lenovo;IdeaPad 320-15AST;Notebook;Full HD 1920x1080;AMD A6-Series 9220 2.5GHz;4;128;AMD R4 Graphics;no;Windows 10;2,2;8,1;399
Acer;Aspire 3;Notebook;1366x768;AMD A9-Series 9420 3GHz;4;1024;AMD Radeon R5;no;Windows 10;2,1;8,1;395
Dell;Inspiron 7577;Gaming;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1152;Nvidia GeForce GTX 1050 Ti;no;Windows 10;2,65;8,6;1349
HP;Pavilion 15-CK000nv;Ultrabook;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;Nvidia GeForce GTX 940MX;no;Windows 10;1,83;10;699
HP;250 G6;Notebook;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,96;5,3;598,99
Asus;FX503VM-E4007T (i7-7700HQ/16GB/1TB;Gaming;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1152;Nvidia GeForce GTX 1060;no;Windows 10;2,2;9,6;1449
Dell;XPS 13;Ultrabook;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,21;6;1649
Asus;FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon;Gaming;Full HD 1920x1080;AMD FX 9830P 3GHz;8;1024;AMD Radeon RX 560;no;Windows 10;2,45;8,4;699
Acer;Aspire 5;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;1024;Nvidia GeForce MX150;no;Windows 10;2,2;9,5;689
HP;Probook 430;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;512;Intel UHD Graphics 620;yes;Windows 10;1,49;6,1;1197
Dell;Inspiron 7577;Gaming;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;256;Nvidia GeForce GTX 1060;no;Windows 10;2,65;9,8;1195
Asus;Zenbook UX430UA;Ultrabook;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,25;6,6;1049
Acer;Spin 5;2 in 1 Convertible;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,5;6,5;847
Dell;Inspiron 3567;Notebook;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;1024;AMD Radeon R5 M430;no;Linux;2,2;8,6;599,9
Dell;Inspiron 3567;Notebook;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;256;AMD Radeon R5 M430;no;Linux;2,2;8,7;485
Asus;X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce;Notebook;Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;6;256;Nvidia GeForce 920M;no;Windows 10;2;6,7;577
HP;Omen 15-ce007nv;Gaming;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;12;1152;Nvidia GeForce GTX 1050;no;Windows 10;2,62;9,7;1249
HP;15-bs017nv (i7-7500U/8GB/256GB/Radeon;Notebook;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256;AMD Radeon 530;no;Windows 10;1,91;8,9;719
HP;15-bw000nv (E2-9000e/4GB/500GB/Radeon;Notebook;Full HD 1920x1080;AMD E-Series E2-9000e 1.5GHz;4;500;AMD Radeon R2;no;Windows 10;2,1;7,5;349
Dell;Inspiron 3576;Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;1024;AMD Radeon 520;no;Linux;2,2;5,6;647
HP;Envy 13-ad009n;Ultrabook;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256;Nvidia GeForce MX150;no;Windows 10;1,38;5,9;1119
Microsoft;Surface Laptop;Ultrabook;Other;Intel Core i5 7200U 2.5GHz;8;256;Intel HD Graphics 620;yes;Windows 10 S;1,252;9,5;1340
HP;Pavilion 14-BK001nv;Notebook;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;6;256;Nvidia GeForce 940MX;no;Windows 10;1,58;7,2;659
Lenovo;Ideapad 310-15ISK;Notebook;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;1024;Intel HD Graphics 520;yes;Windows 10;1,85;6,9;414,9
Asus;UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce;Ultrabook;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256;Nvidia GeForce 940MX;no;Windows 10;1,3;6,7;1193
MSI;GP62M 7REX;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1280;Nvidia GeForce GTX 1050 Ti;no;Windows 10;2,2;0;1299
Lenovo;Thinkpad T470;Notebook;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,58;5,9;1480
Asus;VivoBook S15;Ultrabook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;1280;Nvidia GeForce MX150;no;Windows 10;1,5;9,4;1262
Dell;XPS 13;Ultrabook;Quad HD+ / Touchscreen 3200x1800;Intel Core i7 7560U 2.4GHz;8;256;Intel Iris Plus Graphics 640;yes;Windows 10;1,23;7,9;1379
Lenovo;ThinkPad Yoga;2 in 1 Convertible;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,37;6,4;1399
HP;Probook 440;Notebook;Other;Intel Core i5 8250U 1.6GHz;4;500;Intel UHD Graphics 620;yes;Windows 10;1,63;10;722
Dell;XPS 13;Ultrabook;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,21;7,6;1629
HP;Spectre x360;2 in 1 Convertible;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,26;9,6;1398,99
HP;Probook 440;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;512;Intel UHD Graphics 620;yes;Windows 10;1,63;9;1084
Dell;Inspiron 7570;Notebook;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;1280;Nvidia GeForce 940MX;no;Windows 10;2,16;8,9;1130,33
Asus;X705UV-BX074T (i3-6006U/4GB/1TB/GeForce;Notebook;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;1024;Nvidia GeForce 920MX;no;Windows 10;2;7,9;564
Asus;VivoBook S15;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;Nvidia GeForce 940MX;no;Windows 10;1,7;5,9;1118
Acer;Spin 3;Notebook;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i3 7100U 2.4GHz;6;1024;Intel HD Graphics 620;yes;Windows 10;2,1;8,1;479
MSI;GS63VR 7RG;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;2304;Nvidia GeForce GTX 1070;no;Windows 10;1,8;0;2241,5
HP;Probook 470;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;512;Nvidia GeForce 930MX;no;Windows 10;2,5;5,6;1271
Acer;Aspire 3;Notebook;1366x768;AMD A9-Series 9420 3GHz;4;256;AMD Radeon R5;no;Windows 10;2,1;10;451
HP;Probook 440;Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;1024;Intel UHD Graphics 620;yes;Windows 10;1,63;7,7;812
Asus;E402WA-GA007T (E2-6110/4GB/64GB/W10;Notebook;1366x768;AMD E-Series 6110 1.5GHz;4;64;AMD Radeon R2;no;Windows 10 S;1,65;6,6;277,99
Dell;Inspiron 5770;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;2304;AMD Radeon 530;no;Windows 10;2,8;5,8;1396
HP;ProBook 470;Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;2,5;7,6;928
Dell;Inspiron 5567;Notebook;1366x768;Intel Core i5 7200U 2.5GHz;8;1024;AMD Radeon R7 M445;no;Windows 10;2,36;9,9;638,99
Dell;Inspiron 3567;Notebook;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;1024;AMD Radeon R5 M430;no;Windows 10;2,2;6,7;449
Acer;Swift 3;Ultrabook;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,6;6,9;884
Acer;Aspire A515-51G-37JS;Notebook;Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;4;256;Nvidia GeForce MX130;no;Windows 10;2,2;8;572
HP;15-BS078nr (i7-7500U/8GB/1TB/W10);Notebook;1366x768;Intel Core i7 7500U 2.7GHz;8;1024;Intel HD Graphics 620;yes;Windows 10;2,05;5,1;598
HP;Probook 440;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,63;8,6;988
Asus;FX753VD-GC086T (i5-7300HQ/8GB/1TB;Gaming;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;1152;Nvidia GeForce GTX 1050;no;Windows 10;3;9,4;938
HP;Envy 13-AD007nv;Notebook;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;256;Intel HD Graphics 620;yes;Windows 10;1,32;5,7;699
Acer;Aspire 5;Notebook;IPS Panel Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;4;1024;Nvidia GeForce MX130;no;Windows 10;3;10;655
Lenovo;ThinkPad E480;Notebook;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;AMD Radeon RX 550;no;Windows 10;1,75;8,3;1116,02
Toshiba;Satellite Pro;Notebook;1366x768;Intel Core i5 6200U 2.3GHz;4;500;Intel HD Graphics 520;yes;Windows 10;2,1;9,5;602
HP;255 G6;Notebook;1366x768;AMD A6-Series 9220 2.5GHz;4;256;AMD Radeon R4 Graphics;no;Windows 10;1,86;6,8;369
Asus;ZenBook UX430UA;Ultrabook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,25;7,5;1099
HP;EliteBook Folio;Ultrabook;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core M 6Y75 1.2GHz;8;512;Intel HD Graphics 515;yes;Windows 10;0,97;8,7;2014
Asus;X541NA (N3350/4GB/1TB/FHD/W10);Notebook;Full HD 1920x1080;Intel Celeron Dual Core N3350 1.1GHz;4;1024;Intel HD Graphics 500;yes;Windows 10;2;7,2;344
MSI;GE72MVR 7RG;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1280;Nvidia GeForce GTX 1070;no;Windows 10;2,9;0;2029
Acer;Aspire A315-51;Notebook;1366x768;Intel Core i3 6006U 2GHz;4;1024;Intel HD Graphics 520;yes;Windows 10;2,1;6;447
Dell;Inspiron 5577;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;512;Nvidia GeForce GTX 1050;no;Windows 10;2,56;6,4;1249,26
Dell;Inspiron 7567;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;1024;Nvidia GeForce GTX 1050;no;Windows 10;2,62;8,9;899
Lenovo;V110-15IKB (i5-7200U/4GB/128GB/W10);Notebook;1366x768;Intel Core i5 7200U 2.5GHz;4;128;Intel HD Graphics 620;yes;Windows 10;1,9;8,5;498
MSI;GE73VR 7RE;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1280;Nvidia GeForce GTX 1060;no;Windows 10;2,8;0;1890
HP;EliteBook 840;Ultrabook;Full HD 1920x1080;Intel Core i5 7500U 2.7GHz;4;256;Intel HD Graphics 620;yes;Windows 10;1,48;5,5;1082
HP;15-BS103nv (i5-8250U/6GB/256GB/Radeon;Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;6;256;AMD Radeon 520;no;Windows 10;1,91;7,1;619
Lenovo;Yoga 520-14IKB;2 in 1 Convertible;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i3 7100U 2.4GHz;4;256;Intel HD Graphics 620;yes;Windows 10;1,74;5,3;629
Asus;ZenBook Flip;2 in 1 Convertible;Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,1;6,5;1315
Dell;Inspiron 5579;2 in 1 Convertible;Full HD / Touchscreen 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,56;6,4;1049
Toshiba;Satellite Pro;Notebook;1366x768;Intel Core i3 6006U 2.2GHz;4;500;Intel HD Graphics 520;yes;Windows 10;2,1;6,3;447
Asus;X555BP-XX180T (A9-9420/4GB/1TB/Radeon;Notebook;1366x768;AMD A9-Series 9420 3GHz;4;1024;AMD Radeon R5 M420;no;Windows 10;2,03;5,6;403
Acer;Aspire A517-51G;Notebook;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;4;256;Nvidia GeForce MX150;no;Windows 10;3;9,6;805
Dell;Inspiron 3576;Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;AMD Radeon 520;no;Windows 10;2,13;6,4;728
Lenovo;Legion Y520-15IKBN;Gaming;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256;Nvidia GeForce GTX 1050 Ti;no;Windows 10;2,5;8,7;1079
Acer;Aspire A315-31;Notebook;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;1024;Intel HD Graphics 500;yes;Windows 10;2,1;9,9;348
MSI;GE63VR 7RE;Gaming;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1280;Nvidia GeForce GTX 1060;no;Windows 10;2,4;0;1799
Acer;Aspire 3;Notebook;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4;1024;Intel HD Graphics 505;yes;Windows 10;2,1;6,9;363,51
Dell;Inspiron 5577;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;1152;Nvidia GeForce GTX 1050;no;Windows 10;2,56;6,6;1060,49
Acer;Aspire A517-51G;Notebook;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Nvidia GeForce MX150;no;Windows 10;3;6,6;854
HP;ProBook 430;Notebook;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;4;500;Intel UHD Graphics 620;yes;Windows 10;1,49;7,8;754
Huawei;MateBook X;Ultrabook;Other;Intel Core i5 7200U 2.5GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,05;7,8;1349
